PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
036r3gqq-e097c07ba509cbc65afc3641de2e9a8b,UPDATE,NAME,TRUE,en,OFFICIAL,Inflatable World,OFFICIAL,en,Inflatable World Miranda
036r3grs-78bbc88031236ec2764403de970bfa6c,UPDATE,NAME,TRUE,en,OFFICIAL,Zero Latency VR,OFFICIAL,en,Zero Latency VR Parramatta
036r3gxc-4103dccaec946c4cafd664c2f5aa4f35,UPDATE,NAME,TRUE,en,OFFICIAL,Seaforth Oval,OFFICIAL,en,Seaforth Oval Playground
036r3grv-ae0d9522d9322eab3655f46e478ab45f,UPDATE,NAME,TRUE,en,OFFICIAL,Millionlife,OFFICIAL,en,Millionlife - Eastwood
036r3grx-7a1d6586170914d7b5ba59336cf7f4dc,UPDATE,NAME,TRUE,en,OFFICIAL,Krystlealves,OFFICIAL,en,Krystle Alves
036r3gr7-4fbf2cce8682621d834ac3eae5ddebd0,UPDATE,NAME,TRUE,en,OFFICIAL,Flip Out,OFFICIAL,en,Flip Out Villawood
036r3gx0-f1c4b6065100b023de86ce70fa24fc66,UPDATE,NAME,TRUE,en,OFFICIAL,Happydays ,OFFICIAL,en,Iplay Broadway
036r3gqb-027846c209354eef8fe8ae85d02ff138,UPDATE,NAME,TRUE,en,OFFICIAL,Dyls Thrill Rides and Games,OFFICIAL,en,Dyls Thrill Rides and Games
036r3gnp-8dfdcc2a94a34ef3afe121c40fb61ccc,UPDATE,NAME,true ,en,OFFICIAL,Croc's Playcentre,OFFICIAL,en,Crocs Playcentre Campbelltown
036r3gqv-f5bda45729bd4a12a76e686ebec6fe85,UPDATE,NAME,TRUE,en,OFFICIAL,Liza Fine Art and Lighting,OFFICIAL,en,Liza Fine Art & Lighting
036r3grq-e7b91e892b06550b7c5767d46fd86643,UPDATE,NAME,TRUE,en,OFFICIAL,KOKO Amusement,OFFICIAL,en,Koko Amusement Burwood
036r3gx2-05166d93e49dfb6a1546e59a59d33a19,UPDATE,NAME,TRUE,en,OFFICIAL,Cook Phillip Park Playground,OFFICIAL,en,Cook & Phillip Park Playground
036r3gx2-95c854320730bd42d734d8376d2738e0,UPDATE,NAME,TRUE,en,OFFICIAL,S. H . Ervin  Gallery,OFFICIAL,en,S H Ervin Gallery
036r3gx1-c8286c521d2223a0825c44a8a34c5d65,UPDATE,NAME,TRUE,en,OFFICIAL,Ethel Turner Park Playground,OFFICIAL,en,Ethel Turner Park
036r3grk-41e040a81b3ac7211286e169a4a2d112,UPDATE,NAME,TRUE,en,OFFICIAL,Krish 1 Associates,OFFICIAL,en,Krish Associates
