PLACEID,CHANGETYPE,ATTRIBUTENAME,PLACESTATUS
036r3gx2-a2f191379e269ebd3fed516a03e47103,UPDATE,STATUS,INACTIVE
036r3gx2-2a069400fdd647e7b28e461e5a407556,UPDATE,STATUS,INACTIVE
036r3gqz-8abfd5fae4465a01114cd8cfba2be57c,UPDATE,STATUS,INACTIVE
036r3gx2-ce73cfe2e6df9aab1302eebf906cfbd8,UPDATE,STATUS,INACTIVE
036r3gx2-349d6eda02ce4be2a4c215143f127528,UPDATE,STATUS,INACTIVE
036r3gx0-a2099a90a28cb0c1fa5050c4124a567b,UPDATE,STATUS,INACTIVE
036r3gx0-c600cd28cde94d6fa02a9890504987c4,UPDATE,STATUS,INACTIVE
036r6586-d4559f71bd1ef1d1906065ca3e8ffaa1,UPDATE,STATUS,INACTIVE
036r6526-aad1222049ce78eef74c950c415eb10d,UPDATE,STATUS,INACTIVE
036r3gx8-7cde390b48874f8b8b81ff1c8a7b15e2,UPDATE,STATUS,INACTIVE
036r6521-59fecd10ba6eb30e53edb7b84f754843,UPDATE,STATUS,INACTIVE
036r3gqz-a88b67cceaf48fd604eed541a398cb72,UPDATE,STATUS,INACTIVE
036r3gqy-31fbb734645cbc66d700b22886f67c36,UPDATE,STATUS,INACTIVE
036r3gre-1782464802c879d4a70483c9595e747f,UPDATE,STATUS,INACTIVE
036jx7ps-3ce7234854880067084d4364213edadc,UPDATE,STATUS,INACTIVE
036r6586-628dc72d0e8787430510ba3f5a025ca8,UPDATE,STATUS,INACTIVE
036r3gr2-92c134475121519341fa4bb489e04a6c,UPDATE,STATUS,INACTIVE
036r3gr9-0cefb09e26ff3e04dd386fcc4ccbf83b,UPDATE,STATUS,INACTIVE
036r3grd-2f1ebacf0b9de79e9587a02bec27d31f,UPDATE,STATUS,INACTIVE
036r3grf-f634c722f922bb8da9fba1a9fc2bad02,UPDATE,STATUS,INACTIVE
036r3gnj-eb852767027c4fa58d3c30bc663934ae,UPDATE,STATUS,INACTIVE
036r3grk-fc1d5f64bb75493cac86e8c1a31b04d7,UPDATE,STATUS,INACTIVE
036r3gx9-d88f15e9bfbf9fae1ad3f4fd02febedc,UPDATE,STATUS,INACTIVE
036r3grt-15916ac0086bf3b19674fe95e9a20f2d,UPDATE,STATUS,INACTIVE
036r3gnr-6e95b64d14f5716299291f8aed54475a,UPDATE,STATUS,INACTIVE
036r3grk-6af783750b425647efbfa26b9abab5f8,UPDATE,STATUS,INACTIVE
036r3gxd-229a6c1f99617350bfc1649fa80c52da,UPDATE,STATUS,INACTIVE
036r3gre-48c25894df7d76659f9d028d4cd08d2c,UPDATE,STATUS,INACTIVE
036r3gnp-c51570a8e1424a2180fc64f50efacd6c,UPDATE,STATUS,INACTIVE
036r3gnq-9f6cde7f8d41aa3f307a6c2cfa4c1ee3,UPDATE,STATUS,INACTIVE
036jx7ps-03e41c44ae770df3d4151fb9bb22eb08,UPDATE,STATUS,INACTIVE
036r3gpu-5513663f76703aeb8d0776275aa3abd1,UPDATE,STATUS,INACTIVE
036r3gx2-130c05ad9784ec0b2bc80b6b16904f32,UPDATE,STATUS,INACTIVE
036r3gx3-611dc2af15d8636a694b4d62dd11807f,UPDATE,STATUS,INACTIVE
